_id,_time_c,_time_u,location,date,type,competition,face,distance,distance_units,maxshotsinserie,maxseries,bowsetup_id,arrowset_id,sightadviceaccept_shot_id,meteo_weather,meteo_wind,meteo_winddir,notes,unrecorded_volume,unrecorded_score,time_prep,time_shoot,time_warn,forced_end,archived,_aid
36,1651079781,1651087279,Herentals,1651017600,1,0,10,70.0,0,9,14,1,1,,1.0,1.0,,"s/o tegen Elian 10x eerste pijl van de gang
- J vs E
- 10.1 vs 7.9
- 10.1 vs 7.9
- 9.2 vs 8.8
- 9.6 vs 7.6
- 9.7 vs 7.2
- 9.8 vs 9.1
- 10.1 vs 9.3
- 10.1 vs 8.5
- 9.6 vs 9.1
- 8.8 vs 9.2",,,,,,1.0,0,r1iJvHbkTs7K
37,1651134073,1651134073,Herentals,1651104000,1,0,0,5.0,0,1,36,1,1,,,,,opwarmen,36,,,,,,0,r1iJvHbkTs7K
38,1651134397,1651139625,Herentals,1651104000,1,0,10,70.0,0,10,14,1,1,,,,,"opdracht:
10 keer 3 pijlen per gang in de 10, anders telt het niet en komt er een gang bij",,,,,,,0,r1iJvHbkTs7K
39,1651149152,1651149182,Herentals,1651104000,1,0,10,70.0,0,1,0,1,1,,1.0,,,"pyramide
6 7 8 9 10 10 9 8 7 6 

vanaf 1e 10 gangen laatste pijl scoren (9 9 7 10 9 x)",80,,,,,,0,r1iJvHbkTs7K
40,1651149176,1651149176,Antalya,1651104000,1,0,0,5.0,0,1,24,1,1,,1.0,,,uitschieten ogen dicht,24,,,,,,0,r1iJvHbkTs7K
41,1651516462,1651516462,Herentals,1606086000,1,0,10,70.0,0,1,120,1,1,,,,,,126,,,,,,0,r1iJvHbkTs7K
42,1651516462,1651516462,Herentals,1606345200,1,0,10,70.0,0,1,120,1,1,,,,,,141,,,,,,0,r1iJvHbkTs7K
43,1651516462,1651516462,Herentals,1606690800,1,0,10,70.0,0,1,120,1,1,,,,,,129,,,,,,0,r1iJvHbkTs7K
44,1651516462,1651516462,Herentals,1606690800,1,0,10,70.0,0,1,120,1,1,,,,,,129,,,,,,0,r1iJvHbkTs7K
45,1651516462,1651516462,Herentals,1606863600,1,0,10,70.0,0,1,120,1,1,,,,,,127,,,,,,0,r1iJvHbkTs7K
46,1651516462,1651516462,Herentals,1607295600,1,0,10,70.0,0,1,120,1,1,,,,,,102,,,,,,0,r1iJvHbkTs7K
47,1651516462,1651516462,Herentals,1607468400,1,0,10,70.0,0,1,120,1,1,,,,,,165,,,,,,0,r1iJvHbkTs7K
48,1651516462,1651516462,Herentals,1607900400,3,0,23,18.0,0,1,120,1,1,,,,,,166,,,,,,0,r1iJvHbkTs7K
49,1651516462,1651516462,Herentals,1607900400,1,0,10,70.0,0,1,120,1,1,,,,,,"10,000",,,,,,0,r1iJvHbkTs7K
50,1651516462,1651516462,Herentals,1608246000,3,0,10,70.0,0,1,120,1,1,,,,,,70,,,,,,0,r1iJvHbkTs7K
51,1651516462,1651516462,Herentals,1608246000,3,0,23,18.0,0,1,120,1,1,,,,,,30,,,,,,0,r1iJvHbkTs7K
52,1651516462,1651516462,Herentals,1608505200,3,0,23,18.0,0,1,120,1,1,,,,,,145,,,,,,0,r1iJvHbkTs7K
53,1651516462,1651516462,Herentals,1609110000,1,0,10,70.0,0,1,120,1,1,,,,,,150,,,,,,0,r1iJvHbkTs7K
54,1651516462,1651516462,Rijkevorsel Vorselmoerweg,1609628400,1,0,10,70.0,0,1,120,1,1,,,,,,100,,,,,,0,r1iJvHbkTs7K
55,1651516462,1651516462,Herentals,1609801200,3,0,23,18.0,0,1,120,1,1,,,,,,55,,,,,,0,r1iJvHbkTs7K
56,1651516462,1651516462,Herentals,1609801200,1,0,10,70.0,0,1,120,1,1,,,,,,114,,,,,,0,r1iJvHbkTs7K
57,1651516462,1651516462,Herentals,1609887600,3,0,23,18.0,0,1,120,1,1,,,,,,166,,,,,,0,r1iJvHbkTs7K
58,1651516462,1651516462,Herentals,1610319600,3,0,23,18.0,0,1,120,1,1,,,,,,155,,,,,,0,r1iJvHbkTs7K
59,1651516462,1651516462,Herentals,1610492400,3,0,23,18.0,0,1,120,1,1,,,,,,159,,,,,,0,r1iJvHbkTs7K
60,1651516462,1651516462,Herentals,1610924400,3,0,23,18.0,0,1,120,1,1,,,,,,110,,,,,,0,r1iJvHbkTs7K
61,1651516462,1651516462,Herentals,1611010800,1,0,10,70.0,0,1,120,1,1,,,,,,113,,,,,,0,r1iJvHbkTs7K
62,1651516462,1651516462,Puurs-sint-Amands,1611529200,3,0,23,18.0,0,1,120,1,1,,,,,,60,,,,,,0,r1iJvHbkTs7K
63,1651516462,1651516462,Puurs-sint-Amands,1611615600,3,0,23,18.0,0,1,120,1,1,,,,,,81,,,,,,0,r1iJvHbkTs7K
64,1651516462,1651516462,Herentals,1611702000,3,0,23,18.0,0,1,120,1,1,,,,,,105,,,,,,0,r1iJvHbkTs7K
65,1651516462,1651516462,Puurs,1612393200,3,0,0,5.0,0,1,120,1,1,,,,,,104,,,,,,0,r1iJvHbkTs7K
66,1651516462,1651516462,Puurs,1612479600,3,0,0,5.0,0,1,120,1,1,,,,,,108,,,,,,0,r1iJvHbkTs7K
67,1651516462,1651516462,Puurs,1612652400,3,0,0,5.0,0,1,120,1,1,,,,,,126,,,,,,0,r1iJvHbkTs7K
68,1651516462,1651516462,Herentals,1612911600,1,0,10,70.0,0,1,120,1,1,,,,,,120,,,,,,0,r1iJvHbkTs7K
69,1651516462,1651516462,Herentals,1612998000,1,0,10,70.0,0,1,120,1,1,,,,,,70,,,,,,0,r1iJvHbkTs7K
70,1651516462,1651516462,Herentals,1613343600,1,0,10,70.0,0,1,120,1,1,,,,,,144,,,,,,0,r1iJvHbkTs7K
71,1651516462,1651516462,Herentals,1613602800,1,0,10,70.0,0,1,120,1,1,,,,,,138,,,,,,0,r1iJvHbkTs7K
72,1651516462,1651516462,Herentals,1613948400,1,0,10,70.0,0,1,120,1,1,,,,,,106,,,,,,0,r1iJvHbkTs7K
73,1651516462,1651516462,KJSS Rumst,1614034800,1,0,10,70.0,0,1,120,1,1,,,,,,101,,,,,,0,r1iJvHbkTs7K
74,1651516462,1651516462,Herentals,1614121200,1,0,10,70.0,0,1,120,1,1,,,,,,120,,,,,,0,r1iJvHbkTs7K
75,1651516462,1651516462,Herentals,1614553200,1,0,10,70.0,0,1,120,1,1,,,,,,120,,,,,,0,r1iJvHbkTs7K
76,1651516462,1651516462,Herentals,1614639600,1,0,10,70.0,0,1,120,1,1,,,,,,100,,,,,,0,r1iJvHbkTs7K
77,1651516462,1651516462,Herentals,1614985200,1,0,10,70.0,0,1,120,1,1,,,,,,88,,,,,,0,r1iJvHbkTs7K
78,1651516462,1651516462,Herentals,1615158000,1,0,10,70.0,0,1,120,1,1,,,,,,127,,,,,,0,r1iJvHbkTs7K
79,1651516462,1651516462,Herentals,1615330800,1,0,10,70.0,0,1,120,1,1,,,,,,110,,,,,,0,r1iJvHbkTs7K
80,1651516462,1651516462,Herentals,1615503600,1,0,10,70.0,0,1,120,1,1,,,,,,50,,,,,,0,r1iJvHbkTs7K
81,1651516462,1651516462,Herentals,1615849200,1,0,10,70.0,0,1,120,1,1,,,,,,191,,,,,,0,r1iJvHbkTs7K
82,1651516462,1651516462,KJSS Rumst,1616194800,1,0,10,70.0,0,1,120,1,1,,,,,,110,,,,,,0,r1iJvHbkTs7K
83,1651516462,1651516462,KJSS Rumst,1616540400,1,0,10,70.0,0,1,120,1,1,,,,,,120,,,,,,0,r1iJvHbkTs7K
84,1651516462,1651516462,KJSS Rumst,1616626800,1,0,10,70.0,0,1,120,1,1,,,,,,90,,,,,,0,r1iJvHbkTs7K
85,1651516462,1651516462,KJSS Rumst,1616886000,1,0,10,70.0,0,1,120,1,1,,,,,,100,,,,,,0,r1iJvHbkTs7K
86,1651516462,1651516462,Herentals,1617400800,1,0,10,70.0,0,1,120,1,1,,,,,,90,,,,,,0,r1iJvHbkTs7K
87,1651516462,1651516462,Antalya practisefield,1617660000,1,0,10,70.0,0,1,120,1,1,,,,,,60,,,,,,0,r1iJvHbkTs7K
88,1651516462,1651516462,Herentals,1618351200,1,0,10,70.0,0,1,120,1,1,,,,,,130,,,,,,0,r1iJvHbkTs7K
89,1651516462,1651516462,Herentals,1618437600,1,0,10,70.0,0,1,120,1,1,,,,,,93,,,,,,0,r1iJvHbkTs7K
90,1651516462,1651516462,Herentals,1618524000,1,0,10,70.0,0,1,120,1,1,,,,,,74,,,,,,0,r1iJvHbkTs7K
91,1651516462,1651516462,Willaert,1619560800,1,0,10,70.0,0,1,120,1,1,,,,,,72,,,,,,0,r1iJvHbkTs7K
92,1651516462,1651516462,Herentals,1619647200,1,0,10,70.0,0,1,120,1,1,,,,,,120,,,,,,0,r1iJvHbkTs7K
93,1651516462,1651516462,Herentals,1619733600,1,0,10,70.0,0,1,120,1,1,,,,,,154,,,,,,0,r1iJvHbkTs7K
94,1651516462,1651516462,Herentals,1619992800,1,0,10,70.0,0,1,120,1,1,,,,,,186,,,,,,0,r1iJvHbkTs7K
95,1651516462,1651516462,KJSS Rumst,1620079200,1,0,10,70.0,0,1,120,1,1,,,,,,79,,,,,,0,r1iJvHbkTs7K
96,1651516462,1651516462,Herentals,1620079200,1,0,10,70.0,0,1,120,1,1,,,,,,125,,,,,,0,r1iJvHbkTs7K
97,1651516462,1651516462,Herentals,1620165600,1,0,10,70.0,0,1,120,1,1,,,,,,200,,,,,,0,r1iJvHbkTs7K
98,1651516462,1651516462,KJSS Rumst,1620252000,1,0,10,70.0,0,1,120,1,1,,,,,,116,,,,,,0,r1iJvHbkTs7K
99,1651516462,1651516462,Herentals,1620252000,1,0,10,70.0,0,1,120,1,1,,,,,,113,,,,,,0,r1iJvHbkTs7K
100,1651516462,1651516462,KJSS Rumst,1620338400,1,0,10,70.0,0,1,120,1,1,,,,,,159,,,,,,0,r1iJvHbkTs7K
101,1651516462,1651516462,KJSS Rumst,1620597600,1,0,10,70.0,0,1,120,1,1,,,,,,160,,,,,,0,r1iJvHbkTs7K
102,1651516462,1651516462,KJSS Rumst,1620684000,1,0,10,70.0,0,1,120,1,1,,,,,,203,,,,,,0,r1iJvHbkTs7K
103,1651516462,1651516462,KJSS Rumst,1620770400,1,0,10,70.0,0,1,120,1,1,,,,,,129,,,,,,0,r1iJvHbkTs7K
104,1651516462,1651516462,Herentals,1620856800,1,0,10,70.0,0,1,120,1,1,,,,,,131,,,,,,0,r1iJvHbkTs7K
105,1651516462,1651516462,KJSS Rumst,1620943200,1,0,10,70.0,0,1,120,1,1,,,,,,83,,,,,,0,r1iJvHbkTs7K
107,1651516462,1651516462,Herentals,1621893600,1,0,10,70.0,0,1,120,1,1,,,,,,156,,,,,,0,r1iJvHbkTs7K
109,1651516462,1651516462,Herentals,1621980000,1,0,10,70.0,0,1,120,1,1,,,,,,179,,,,,,0,r1iJvHbkTs7K
110,1651516462,1651516462,KJSS Rumst,1622066400,1,0,10,70.0,0,1,120,1,1,,,,,,120,,,,,,0,r1iJvHbkTs7K
111,1651516462,1651516462,KJSS Rumst,1622066400,1,0,10,70.0,0,1,120,1,1,,,,,,120,,,,,,0,r1iJvHbkTs7K
112,1651516462,1651516462,KJSS Rumst,1622239200,1,0,10,70.0,0,1,120,1,1,,,,,,100,,,,,,0,r1iJvHbkTs7K
113,1651516462,1651516462,Antalya,1622844000,1,0,10,70.0,0,1,120,1,1,,,,,,100,,,,,,0,r1iJvHbkTs7K
114,1651516462,1651516462,Herentals,1623103200,1,0,10,70.0,0,1,120,1,1,,,,,,105,,,,,,0,r1iJvHbkTs7K
115,1651516462,1651516462,KJSS Rumst,1623362400,1,0,10,70.0,0,1,120,1,1,,,,,,90,,,,,,0,r1iJvHbkTs7K
116,1651516462,1651516462,Herentals,1623621600,1,0,10,70.0,0,1,120,1,1,,,,,,80,,,,,,0,r1iJvHbkTs7K
117,1651516462,1651516462,KJSS Rumst,1623708000,1,0,10,70.0,0,1,120,1,1,,,,,,136,,,,,,0,r1iJvHbkTs7K
118,1651516462,1651516462,Herentals,1623794400,1,0,10,70.0,0,1,120,1,1,,,,,,64,,,,,,0,r1iJvHbkTs7K
119,1651516462,1651516462,Stade de Charlety,1624226400,1,0,10,70.0,0,1,120,1,1,,,,,,50,,,,,,0,r1iJvHbkTs7K
120,1651516462,1651516462,Stade de Charlety,1624485600,1,0,10,70.0,0,1,120,1,1,,,,,,55,,,,,,0,r1iJvHbkTs7K
121,1651516462,1651516462,KJSS Rumst,1624917600,1,0,10,70.0,0,1,120,1,1,,,,,,76,,,,,,0,r1iJvHbkTs7K
122,1651516462,1651516462,Herentals,1625004000,1,0,10,70.0,0,1,120,1,1,,,,,,92,,,,,,0,r1iJvHbkTs7K
123,1651516462,1651516462,KJSS Rumst,1627855200,1,0,10,70.0,0,1,120,1,1,,,,,,110,,,,,,0,r1iJvHbkTs7K
124,1651516462,1651516462,KJSS Rumst,1627941600,1,0,10,70.0,0,1,120,1,1,,,,,,150,,,,,,0,r1iJvHbkTs7K
125,1651516462,1651516462,KJSS Rumst,1628114400,1,0,10,70.0,0,1,120,1,1,,,,,,202,,,,,,0,r1iJvHbkTs7K
126,1651516462,1651516462,KJSS Rumst,1628460000,1,0,10,70.0,0,1,120,1,1,,,,,,149,,,,,,0,r1iJvHbkTs7K
127,1651516462,1651516462,Herentals,1628892000,1,0,10,70.0,0,1,120,1,1,,,,,,64,,,,,,0,r1iJvHbkTs7K
128,1651516462,1651516462,KJSS Rumst,1629237600,1,0,10,70.0,0,1,120,1,1,,,,,,117,,,,,,0,r1iJvHbkTs7K
129,1651516462,1651516462,Herentals,1629324000,1,0,10,70.0,0,1,120,1,1,,,,,,130,,,,,,0,r1iJvHbkTs7K
130,1651516462,1651516462,KJSS Rumst,1629410400,1,0,10,70.0,0,1,120,1,1,,,,,,101,,,,,,0,r1iJvHbkTs7K
131,1651516462,1651516462,Herentals,1629669600,1,0,10,70.0,0,1,120,1,1,,,,,,105,,,,,,0,r1iJvHbkTs7K
132,1651516462,1651516462,KJSS Rumst,1629756000,1,0,10,70.0,0,1,120,1,1,,,,,,192,,,,,,0,r1iJvHbkTs7K
133,1651516462,1651516462,DNM Minderhout,1629842400,1,0,10,70.0,0,1,120,1,1,,,,,,155,,,,,,0,r1iJvHbkTs7K
134,1651516462,1651516462,KJSS Rumst,1629928800,1,0,10,70.0,0,1,120,1,1,,,,,,84,,,,,,0,r1iJvHbkTs7K
135,1651516462,1651516462,KJSS Rumst,1630015200,1,0,10,70.0,0,1,120,1,1,,,,,,72,,,,,,0,r1iJvHbkTs7K
136,1651516462,1651516462,Herentals,1630879200,1,0,10,70.0,0,1,120,1,1,,,,,,66,,,,,,0,r1iJvHbkTs7K
137,1651516462,1651516462,KJSS Rumst,1630965600,1,0,10,70.0,0,1,120,1,1,,,,,,60,,,,,,0,r1iJvHbkTs7K
138,1651516462,1651516462,KJSS Rumst,1631052000,1,0,10,70.0,0,1,120,1,1,,,,,,50,,,,,,0,r1iJvHbkTs7K
139,1651516462,1651516462,KJSS Rumst,1631138400,1,0,10,70.0,0,1,120,1,1,,,,,,90,,,,,,0,r1iJvHbkTs7K
140,1651516462,1651516462,Herentals,1631138400,1,0,10,70.0,0,1,120,1,1,,,,,,75,,,,,,0,r1iJvHbkTs7K
141,1651516462,1651516462,KJSS Rumst,1631224800,1,0,10,70.0,0,1,120,1,1,,,,,,75,,,,,,0,r1iJvHbkTs7K
142,1651516462,1651516462,KJSS Rumst,1631570400,1,0,10,70.0,0,1,120,1,1,,,,,,114,,,,,,0,r1iJvHbkTs7K
143,1651516462,1651516462,DNM Minderhout,1631656800,1,0,10,70.0,0,1,120,1,1,,,,,,110,,,,,,0,r1iJvHbkTs7K
144,1651516462,1651516462,KJSS Rumst,1631743200,1,0,10,70.0,0,1,120,1,1,,,,,,105,,,,,,0,r1iJvHbkTs7K
145,1651516462,1651516462,Herentals,1631829600,1,0,10,70.0,0,1,120,1,1,,,,,,45,,,,,,0,r1iJvHbkTs7K
146,1651516462,1651516462,NFAA center,1632002400,1,0,10,70.0,0,1,120,1,1,,,,,,61,,,,,,0,r1iJvHbkTs7K
147,1651516462,1651516462,KJSS Rumst,1633384800,3,0,23,18.0,0,1,120,1,1,,,,,,50,,,,,,0,r1iJvHbkTs7K
148,1651516462,1651516462,Hoge mierde,1633557600,3,0,23,18.0,0,1,120,1,1,,,,,,50,,,,,,0,r1iJvHbkTs7K
149,1651516462,1651516462,Herentals,1633903200,3,0,23,18.0,0,1,120,1,1,,,,,,100,,,,,,0,r1iJvHbkTs7K
150,1651516462,1651516462,KJSS Rumst,1633989600,3,0,23,18.0,0,1,120,1,1,,,,,,100,,,,,,0,r1iJvHbkTs7K
151,1651516462,1651516462,Herentals,1634076000,3,0,23,18.0,0,1,120,1,1,,,,,,105,,,,,,0,r1iJvHbkTs7K
152,1651516462,1651516462,KJSS Rumst,1634162400,3,0,23,18.0,0,1,120,1,1,,,,,,145,,,,,,0,r1iJvHbkTs7K
153,1651516462,1651516462,KJSS Rumst,1634335200,3,0,23,18.0,0,1,120,1,1,,,,,,39,,,,,,0,r1iJvHbkTs7K
154,1651516462,1651516462,Herentals,1634508000,3,0,23,18.0,0,1,120,1,1,,,,,,150,,,,,,0,r1iJvHbkTs7K
155,1651516462,1651516462,KJSS Rumst,1634594400,3,0,23,18.0,0,1,120,1,1,,,,,,100,,,,,,0,r1iJvHbkTs7K
156,1651516462,1651516462,Herentals,1634680800,3,0,23,18.0,0,1,120,1,1,,,,,,160,,,,,,0,r1iJvHbkTs7K
157,1651516462,1651516462,KJSS Rumst,1634767200,3,0,23,18.0,0,1,120,1,1,,,,,,100,,,,,,0,r1iJvHbkTs7K
158,1651516462,1651516462,Herentals,1635112800,3,0,23,18.0,0,1,120,1,1,,,,,,112,,,,,,0,r1iJvHbkTs7K
159,1651516462,1651516462,KJSS Rumst,1635199200,3,0,23,18.0,0,1,120,1,1,,,,,,127,,,,,,0,r1iJvHbkTs7K
160,1651516462,1651516462,VUB lab,1635285600,3,0,23,5.0,0,1,120,1,1,,,,,,78,,,,,,0,r1iJvHbkTs7K
161,1651516462,1651516462,KJSS Rumst,1635372000,3,0,23,18.0,0,1,120,1,1,,,,,,144,,,,,,0,r1iJvHbkTs7K
162,1651516462,1651516462,Herentals,1635721200,3,0,23,18.0,0,1,120,1,1,,,,,,160,,,,,,0,r1iJvHbkTs7K
163,1651516462,1651516462,KJSS Rumst,1635807600,3,0,23,18.0,0,1,120,1,1,,,,,,140,,,,,,0,r1iJvHbkTs7K
164,1651516462,1651516462,KJSS Rumst,1635980400,3,0,23,18.0,0,1,120,1,1,,,,,,109,,,,,,0,r1iJvHbkTs7K
165,1651516462,1651516462,Herentals,1636153200,1,0,10,70.0,0,1,120,1,1,,,,,,88,,,,,,0,r1iJvHbkTs7K
166,1651516462,1651516462,Herentals,1636326000,1,0,10,70.0,0,1,120,1,1,,,,,,181,,,,,,0,r1iJvHbkTs7K
167,1651516462,1651516462,KJSS Rumst,1636498800,3,0,0,5.0,0,1,120,1,1,,,,,,153,,,,,,0,r1iJvHbkTs7K
168,1651516462,1651516462,Herentals,1636585200,1,0,10,70.0,0,1,120,1,1,,,,,,112,,,,,,0,r1iJvHbkTs7K
169,1651516462,1651516462,Herentals,1638140400,3,0,23,18.0,0,1,120,1,1,,,,,,168,,,,,,0,r1iJvHbkTs7K
170,1651516462,1651516462,KJSS Rumst,1638226800,3,0,23,18.0,0,1,120,1,1,,,,,,203,,,,,,0,r1iJvHbkTs7K
171,1651516462,1651516462,Herentals,1638313200,1,0,10,70.0,0,1,120,1,1,,,,,,50,,,,,,0,r1iJvHbkTs7K
172,1651516462,1651516462,Herentals,1638313200,3,0,23,18.0,0,1,120,1,1,,,,,,141,,,,,,0,r1iJvHbkTs7K
173,1651516462,1651516462,KJSS Rumst,1638399600,3,0,23,18.0,0,1,120,1,1,,,,,,130,,,,,,0,r1iJvHbkTs7K
174,1651516462,1651516462,Herentals,1638745200,1,0,10,70.0,0,1,120,1,1,,,,,,121,,,,,,0,r1iJvHbkTs7K
175,1651516462,1651516462,KJSS Rumst,1638831600,3,0,23,18.0,0,1,120,1,1,,,,,,105,,,,,,0,r1iJvHbkTs7K
176,1651516462,1651516462,Herentals,1639350000,1,0,10,70.0,0,1,120,1,1,,,,,,160,,,,,,0,r1iJvHbkTs7K
177,1651516462,1651516462,KJSS Rumst,1639436400,3,0,23,18.0,0,1,120,1,1,,,,,,122,,,,,,0,r1iJvHbkTs7K
178,1651516462,1651516462,Herentals,1639522800,1,0,10,70.0,0,1,120,1,1,,,,,,160,,,,,,0,r1iJvHbkTs7K
179,1651516462,1651516462,KJSS Rumst,1639609200,3,0,23,18.0,0,1,120,1,1,,,,,,100,,,,,,0,r1iJvHbkTs7K
180,1651516462,1651516462,KJSS Rumst,1639868400,3,0,23,18.0,0,1,120,1,1,,,,,,165,,,,,,0,r1iJvHbkTs7K
181,1651516462,1651516462,Herentals,1639954800,1,0,10,70.0,0,1,120,1,1,,,,,,100,,,,,,0,r1iJvHbkTs7K
182,1651516462,1651516462,KJSS Rumst,1640041200,3,0,23,18.0,0,1,120,1,1,,,,,,130,,,,,,0,r1iJvHbkTs7K
183,1651516462,1651516462,KJSS Rumst,1640214000,3,0,23,18.0,0,1,120,1,1,,,,,,100,,,,,,0,r1iJvHbkTs7K
184,1651516462,1651516462,Herentals,1640559600,3,0,23,18.0,0,1,120,1,1,,,,,,150,,,,,,0,r1iJvHbkTs7K
185,1651516462,1651516462,KJSS Rumst,1640991600,3,0,23,18.0,0,1,120,1,1,,,,,,65,,,,,,0,r1iJvHbkTs7K
186,1651516462,1651516462,KJSS Rumst,1641078000,3,0,23,18.0,0,1,120,1,1,,,,,,152,,,,,,0,r1iJvHbkTs7K
187,1651516462,1651516462,Herentals,1641164400,3,0,23,18.0,0,1,120,1,1,,,,,,202,,,,,,0,r1iJvHbkTs7K
188,1651516462,1651516462,KJSS Rumst,1641250800,3,0,23,18.0,0,1,120,1,1,,,,,,79,,,,,,0,r1iJvHbkTs7K
189,1651516462,1651516462,Herentals,1641423600,3,0,23,18.0,0,1,120,1,1,,,,,,72,,,,,,0,r1iJvHbkTs7K
